Movie Number,Movie Title,Movie Url,Date,Length,Genre,IMDb Rating,Filtered Genre,year,Int Length
8097,Bruce Springsteen: The Complete Video Anthology 1978-2000,http://www.imdb.com/title/tt0363491/,16 January 2001,2h 45min,"['Documentary', 'Biography', 'Music']",7.5,Documentary/Biography,2001.0,165
8110,Wrangler: Anatomy of an Icon,http://www.imdb.com/title/tt1053951/,7 June 2008,1h 25min,"['Documentary', 'Biography', 'Romance']",6.0,Documentary/Biography,2008.0,85
8113,Rita,http://www.imdb.com/title/tt0380673/,9 September 2003,59min,"['Documentary', 'Biography']",7.5,Documentary/Biography,2003.0,59
8116,Constantine's Sword,http://www.imdb.com/title/tt0902270/,18 April 2008,1h 33min,"['Documentary', 'Biography']",7.1,Documentary/Biography,2008.0,93
8117,Mama Africa,http://www.imdb.com/title/tt1543029/,2011,1h 30min,"['Documentary', 'Biography', 'Music']",7.0,Documentary/Biography,2011.0,90
8138,Air Guitar Nation,http://www.imdb.com/title/tt0799915/,6 October 2007,1h 21min,"['Documentary', 'Biography', 'Music']",7.2,Documentary/Biography,2007.0,81
8155,The Unknown Peter Sellers,http://www.imdb.com/title/tt0243637/,25 April 2000,52min,"['Documentary', 'Biography']",7.6,Documentary/Biography,2000.0,52
8156,All About Bette,http://www.imdb.com/title/tt0106247/,17 July 1994,48min,"['Documentary', 'Biography']",8.8,Documentary/Biography,1994.0,48
8163,Katharine Hepburn: All About Me,http://www.imdb.com/title/tt0104597/,18 January 1993,1h 10min,"['Documentary', 'Biography']",8.3,Documentary/Biography,1993.0,70
8182,Pie in the Sky: The Brigid Berlin Story,http://www.imdb.com/title/tt0261174/,18 May 2001,1h 15min,"['Documentary', 'Biography']",7.3,Documentary/Biography,2001.0,75
8189,Elia Kazan: A Director's Journey,http://www.imdb.com/title/tt0246601/,14 August 1995,1h 15min,"['Documentary', 'Biography']",7.1,Documentary/Biography,1995.0,75
8212,The Untouchables,http://www.imdb.com/title/tt0094226/,3 June 1987,1h 59min,"['Crime', 'Drama', 'Thriller']",7.9,Crime,1987.0,119
8219,The Way Back,http://www.imdb.com/title/tt1023114/,21 January 2011,2h 13min,"['Adventure', 'Biography', 'Drama']",7.3,Documentary/Biography,2011.0,133
8224,Les Misérables,http://www.imdb.com/title/tt0119683/,1 May 1998,2h 14min,"['Crime', 'Drama', 'History']",7.5,Crime,1998.0,134
8225,Enemy at the Gates,http://www.imdb.com/title/tt0215750/,16 March 2001,2h 11min,"['Drama', 'History', 'War']",7.6,Drama,2001.0,131
8234,Frost/Nixon,http://www.imdb.com/title/tt0870111/,23 January 2009,2h 2min,"['Biography', 'Drama']",7.7,Documentary/Biography,2009.0,122
